group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,inertia,2,,,991114.0,ns,52093
Integer-mul,inertia,2,,,2001108.0,ns,104186
Integer-mul,inertia,2,,,3045003.0,ns,156279
Integer-mul,inertia,2,,,3944085.0,ns,208372
Integer-mul,inertia,2,,,4946544.0,ns,260465
Integer-mul,inertia,2,,,5822402.0,ns,312558
Integer-mul,inertia,2,,,6877790.0,ns,364651
Integer-mul,inertia,2,,,8037665.0,ns,416744
Integer-mul,inertia,2,,,8907772.0,ns,468837
Integer-mul,inertia,2,,,9632412.0,ns,520930
Integer-mul,inertia,2,,,10793079.0,ns,573023
Integer-mul,inertia,2,,,11561816.0,ns,625116
Integer-mul,inertia,2,,,12695029.0,ns,677209
Integer-mul,inertia,2,,,13499864.0,ns,729302
Integer-mul,inertia,2,,,14658124.0,ns,781395
Integer-mul,inertia,2,,,15361013.0,ns,833488
Integer-mul,inertia,2,,,16334806.0,ns,885581
Integer-mul,inertia,2,,,17447643.0,ns,937674
Integer-mul,inertia,2,,,18614109.0,ns,989767
Integer-mul,inertia,2,,,19670204.0,ns,1041860
Integer-mul,inertia,2,,,20255131.0,ns,1093953
Integer-mul,inertia,2,,,21525488.0,ns,1146046
Integer-mul,inertia,2,,,22340772.0,ns,1198139
Integer-mul,inertia,2,,,23211169.0,ns,1250232
Integer-mul,inertia,2,,,24405288.0,ns,1302325
Integer-mul,inertia,2,,,26114626.0,ns,1354418
Integer-mul,inertia,2,,,26140615.0,ns,1406511
Integer-mul,inertia,2,,,27208928.0,ns,1458604
Integer-mul,inertia,2,,,28397607.0,ns,1510697
Integer-mul,inertia,2,,,29084343.0,ns,1562790
Integer-mul,inertia,2,,,29793811.0,ns,1614883
Integer-mul,inertia,2,,,31225113.0,ns,1666976
Integer-mul,inertia,2,,,31936621.0,ns,1719069
Integer-mul,inertia,2,,,33210429.0,ns,1771162
Integer-mul,inertia,2,,,33979765.0,ns,1823255
Integer-mul,inertia,2,,,34977509.0,ns,1875348
Integer-mul,inertia,2,,,36117998.0,ns,1927441
Integer-mul,inertia,2,,,36704053.0,ns,1979534
Integer-mul,inertia,2,,,37893889.0,ns,2031627
Integer-mul,inertia,2,,,38902868.0,ns,2083720
Integer-mul,inertia,2,,,40021109.0,ns,2135813
Integer-mul,inertia,2,,,40793523.0,ns,2187906
Integer-mul,inertia,2,,,41911190.0,ns,2239999
Integer-mul,inertia,2,,,43112640.0,ns,2292092
Integer-mul,inertia,2,,,43574382.0,ns,2344185
Integer-mul,inertia,2,,,44499397.0,ns,2396278
Integer-mul,inertia,2,,,45648329.0,ns,2448371
Integer-mul,inertia,2,,,46572616.0,ns,2500464
Integer-mul,inertia,2,,,48025010.0,ns,2552557
Integer-mul,inertia,2,,,49530326.0,ns,2604650
Integer-mul,inertia,2,,,49434196.0,ns,2656743
Integer-mul,inertia,2,,,50783501.0,ns,2708836
Integer-mul,inertia,2,,,51195820.0,ns,2760929
Integer-mul,inertia,2,,,52605636.0,ns,2813022
Integer-mul,inertia,2,,,53779146.0,ns,2865115
Integer-mul,inertia,2,,,54889379.0,ns,2917208
Integer-mul,inertia,2,,,54958971.0,ns,2969301
Integer-mul,inertia,2,,,56717391.0,ns,3021394
Integer-mul,inertia,2,,,57294605.0,ns,3073487
Integer-mul,inertia,2,,,58732172.0,ns,3125580
Integer-mul,inertia,2,,,59023899.0,ns,3177673
Integer-mul,inertia,2,,,60222199.0,ns,3229766
Integer-mul,inertia,2,,,60798426.0,ns,3281859
Integer-mul,inertia,2,,,62256524.0,ns,3333952
Integer-mul,inertia,2,,,63132527.0,ns,3386045
Integer-mul,inertia,2,,,64002927.0,ns,3438138
Integer-mul,inertia,2,,,65080151.0,ns,3490231
Integer-mul,inertia,2,,,65812139.0,ns,3542324
Integer-mul,inertia,2,,,66743962.0,ns,3594417
Integer-mul,inertia,2,,,67674023.0,ns,3646510
Integer-mul,inertia,2,,,68881719.0,ns,3698603
Integer-mul,inertia,2,,,69816838.0,ns,3750696
Integer-mul,inertia,2,,,70492065.0,ns,3802789
Integer-mul,inertia,2,,,71781466.0,ns,3854882
Integer-mul,inertia,2,,,72036735.0,ns,3906975
Integer-mul,inertia,2,,,73839375.0,ns,3959068
Integer-mul,inertia,2,,,74256102.0,ns,4011161
Integer-mul,inertia,2,,,75727191.0,ns,4063254
Integer-mul,inertia,2,,,76714365.0,ns,4115347
Integer-mul,inertia,2,,,77244564.0,ns,4167440
Integer-mul,inertia,2,,,78868813.0,ns,4219533
Integer-mul,inertia,2,,,79651728.0,ns,4271626
Integer-mul,inertia,2,,,80710898.0,ns,4323719
Integer-mul,inertia,2,,,81182257.0,ns,4375812
Integer-mul,inertia,2,,,82449896.0,ns,4427905
Integer-mul,inertia,2,,,83380575.0,ns,4479998
Integer-mul,inertia,2,,,84419815.0,ns,4532091
Integer-mul,inertia,2,,,85666161.0,ns,4584184
Integer-mul,inertia,2,,,87172201.0,ns,4636277
Integer-mul,inertia,2,,,87215254.0,ns,4688370
Integer-mul,inertia,2,,,88391286.0,ns,4740463
Integer-mul,inertia,2,,,89581145.0,ns,4792556
Integer-mul,inertia,2,,,90801639.0,ns,4844649
Integer-mul,inertia,2,,,91575603.0,ns,4896742
Integer-mul,inertia,2,,,92632071.0,ns,4948835
Integer-mul,inertia,2,,,93471308.0,ns,5000928
Integer-mul,inertia,2,,,94446185.0,ns,5053021
Integer-mul,inertia,2,,,96039050.0,ns,5105114
Integer-mul,inertia,2,,,95419166.0,ns,5157207
Integer-mul,inertia,2,,,97282805.0,ns,5209300
