group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,inertia,8,,,1002802.0,ns,38961
Integer-mul,inertia,8,,,2003676.0,ns,77922
Integer-mul,inertia,8,,,3000369.0,ns,116883
Integer-mul,inertia,8,,,3995706.0,ns,155844
Integer-mul,inertia,8,,,4963925.0,ns,194805
Integer-mul,inertia,8,,,6025951.0,ns,233766
Integer-mul,inertia,8,,,6882344.0,ns,272727
Integer-mul,inertia,8,,,8690127.0,ns,311688
Integer-mul,inertia,8,,,8973509.0,ns,350649
Integer-mul,inertia,8,,,9963515.0,ns,389610
Integer-mul,inertia,8,,,11300341.0,ns,428571
Integer-mul,inertia,8,,,11871937.0,ns,467532
Integer-mul,inertia,8,,,12727932.0,ns,506493
Integer-mul,inertia,8,,,13952888.0,ns,545454
Integer-mul,inertia,8,,,14629722.0,ns,584415
Integer-mul,inertia,8,,,15889401.0,ns,623376
Integer-mul,inertia,8,,,16657208.0,ns,662337
Integer-mul,inertia,8,,,17897676.0,ns,701298
Integer-mul,inertia,8,,,18754194.0,ns,740259
Integer-mul,inertia,8,,,19490651.0,ns,779220
Integer-mul,inertia,8,,,20636550.0,ns,818181
Integer-mul,inertia,8,,,21363700.0,ns,857142
Integer-mul,inertia,8,,,22967428.0,ns,896103
Integer-mul,inertia,8,,,23496656.0,ns,935064
Integer-mul,inertia,8,,,24546685.0,ns,974025
Integer-mul,inertia,8,,,25885800.0,ns,1012986
Integer-mul,inertia,8,,,26288659.0,ns,1051947
Integer-mul,inertia,8,,,27530451.0,ns,1090908
Integer-mul,inertia,8,,,28681702.0,ns,1129869
Integer-mul,inertia,8,,,29254038.0,ns,1168830
Integer-mul,inertia,8,,,30692586.0,ns,1207791
Integer-mul,inertia,8,,,31230344.0,ns,1246752
Integer-mul,inertia,8,,,32481210.0,ns,1285713
Integer-mul,inertia,8,,,33436102.0,ns,1324674
Integer-mul,inertia,8,,,34365663.0,ns,1363635
Integer-mul,inertia,8,,,35397150.0,ns,1402596
