group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,num,2,,,1310176.0,ns,16521
Integer-mul,num,2,,,2238845.0,ns,33042
Integer-mul,num,2,,,3100948.0,ns,49563
Integer-mul,num,2,,,4388395.0,ns,66084
Integer-mul,num,2,,,5471441.0,ns,82605
Integer-mul,num,2,,,6486235.0,ns,99126
Integer-mul,num,2,,,7627991.0,ns,115647
Integer-mul,num,2,,,8289838.0,ns,132168
Integer-mul,num,2,,,9476998.0,ns,148689
Integer-mul,num,2,,,10656042.0,ns,165210
Integer-mul,num,2,,,11905108.0,ns,181731
Integer-mul,num,2,,,12415551.0,ns,198252
Integer-mul,num,2,,,13259272.0,ns,214773
Integer-mul,num,2,,,14679718.0,ns,231294
Integer-mul,num,2,,,15878935.0,ns,247815
Integer-mul,num,2,,,16542177.0,ns,264336
Integer-mul,num,2,,,17680322.0,ns,280857
Integer-mul,num,2,,,19251616.0,ns,297378
Integer-mul,num,2,,,20352022.0,ns,313899
Integer-mul,num,2,,,21445353.0,ns,330420
Integer-mul,num,2,,,22277429.0,ns,346941
Integer-mul,num,2,,,23266449.0,ns,363462
Integer-mul,num,2,,,24590383.0,ns,379983
Integer-mul,num,2,,,25667374.0,ns,396504
Integer-mul,num,2,,,25910724.0,ns,413025
Integer-mul,num,2,,,27917523.0,ns,429546
Integer-mul,num,2,,,28846778.0,ns,446067
Integer-mul,num,2,,,29504052.0,ns,462588
Integer-mul,num,2,,,30833397.0,ns,479109
Integer-mul,num,2,,,31849748.0,ns,495630
Integer-mul,num,2,,,31909019.0,ns,512151
Integer-mul,num,2,,,33907242.0,ns,528672
Integer-mul,num,2,,,35005802.0,ns,545193
Integer-mul,num,2,,,35580124.0,ns,561714
Integer-mul,num,2,,,37203787.0,ns,578235
Integer-mul,num,2,,,37922593.0,ns,594756
Integer-mul,num,2,,,38660791.0,ns,611277
Integer-mul,num,2,,,39911719.0,ns,627798
Integer-mul,num,2,,,41255460.0,ns,644319
Integer-mul,num,2,,,42383766.0,ns,660840
Integer-mul,num,2,,,43402575.0,ns,677361
Integer-mul,num,2,,,44267989.0,ns,693882
Integer-mul,num,2,,,45980590.0,ns,710403
Integer-mul,num,2,,,46643935.0,ns,726924
Integer-mul,num,2,,,47426957.0,ns,743445
Integer-mul,num,2,,,48711276.0,ns,759966
Integer-mul,num,2,,,50000830.0,ns,776487
Integer-mul,num,2,,,50416039.0,ns,793008
Integer-mul,num,2,,,51643789.0,ns,809529
Integer-mul,num,2,,,52648799.0,ns,826050
Integer-mul,num,2,,,53113295.0,ns,842571
Integer-mul,num,2,,,54939452.0,ns,859092
Integer-mul,num,2,,,56117852.0,ns,875613
Integer-mul,num,2,,,57044482.0,ns,892134
Integer-mul,num,2,,,58098160.0,ns,908655
Integer-mul,num,2,,,59487435.0,ns,925176
Integer-mul,num,2,,,60062672.0,ns,941697
Integer-mul,num,2,,,60840746.0,ns,958218
Integer-mul,num,2,,,61207666.0,ns,974739
Integer-mul,num,2,,,63002049.0,ns,991260
Integer-mul,num,2,,,64175347.0,ns,1007781
Integer-mul,num,2,,,65173049.0,ns,1024302
Integer-mul,num,2,,,65881754.0,ns,1040823
Integer-mul,num,2,,,67511980.0,ns,1057344
Integer-mul,num,2,,,67864177.0,ns,1073865
Integer-mul,num,2,,,69701922.0,ns,1090386
Integer-mul,num,2,,,70609200.0,ns,1106907
Integer-mul,num,2,,,71396131.0,ns,1123428
Integer-mul,num,2,,,73217794.0,ns,1139949
Integer-mul,num,2,,,73448199.0,ns,1156470
Integer-mul,num,2,,,75169398.0,ns,1172991
Integer-mul,num,2,,,75292378.0,ns,1189512
Integer-mul,num,2,,,75807699.0,ns,1206033
Integer-mul,num,2,,,77399790.0,ns,1222554
Integer-mul,num,2,,,79160175.0,ns,1239075
Integer-mul,num,2,,,80044534.0,ns,1255596
Integer-mul,num,2,,,81358727.0,ns,1272117
Integer-mul,num,2,,,82374518.0,ns,1288638
Integer-mul,num,2,,,82750735.0,ns,1305159
Integer-mul,num,2,,,84055233.0,ns,1321680
Integer-mul,num,2,,,85297580.0,ns,1338201
Integer-mul,num,2,,,85718408.0,ns,1354722
Integer-mul,num,2,,,86795167.0,ns,1371243
Integer-mul,num,2,,,88041583.0,ns,1387764
Integer-mul,num,2,,,88188319.0,ns,1404285
Integer-mul,num,2,,,89642402.0,ns,1420806
Integer-mul,num,2,,,90566257.0,ns,1437327
Integer-mul,num,2,,,92980844.0,ns,1453848
Integer-mul,num,2,,,92367210.0,ns,1470369
Integer-mul,num,2,,,93609073.0,ns,1486890
Integer-mul,num,2,,,95040647.0,ns,1503411
Integer-mul,num,2,,,96761226.0,ns,1519932
Integer-mul,num,2,,,96637685.0,ns,1536453
Integer-mul,num,2,,,97529213.0,ns,1552974
Integer-mul,num,2,,,99931105.0,ns,1569495
Integer-mul,num,2,,,100075733.0,ns,1586016
Integer-mul,num,2,,,101609700.0,ns,1602537
Integer-mul,num,2,,,101527732.0,ns,1619058
Integer-mul,num,2,,,104523878.0,ns,1635579
Integer-mul,num,2,,,104798355.0,ns,1652100
