group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,num,8,,,969709.0,ns,14638
Integer-mul,num,8,,,2141651.0,ns,29276
Integer-mul,num,8,,,2947839.0,ns,43914
Integer-mul,num,8,,,3799112.0,ns,58552
Integer-mul,num,8,,,5310937.0,ns,73190
Integer-mul,num,8,,,5636559.0,ns,87828
Integer-mul,num,8,,,7612352.0,ns,102466
Integer-mul,num,8,,,7762807.0,ns,117104
Integer-mul,num,8,,,8911982.0,ns,131742
Integer-mul,num,8,,,9810260.0,ns,146380
Integer-mul,num,8,,,10873327.0,ns,161018
Integer-mul,num,8,,,11850897.0,ns,175656
Integer-mul,num,8,,,12483226.0,ns,190294
Integer-mul,num,8,,,13599685.0,ns,204932
Integer-mul,num,8,,,14967419.0,ns,219570
Integer-mul,num,8,,,15372862.0,ns,234208
Integer-mul,num,8,,,16627514.0,ns,248846
Integer-mul,num,8,,,17835332.0,ns,263484
Integer-mul,num,8,,,18632092.0,ns,278122
Integer-mul,num,8,,,19754781.0,ns,292760
Integer-mul,num,8,,,20611559.0,ns,307398
Integer-mul,num,8,,,21601070.0,ns,322036
Integer-mul,num,8,,,22724628.0,ns,336674
Integer-mul,num,8,,,23425638.0,ns,351312
Integer-mul,num,8,,,24861564.0,ns,365950
Integer-mul,num,8,,,25284287.0,ns,380588
Integer-mul,num,8,,,26416498.0,ns,395226
Integer-mul,num,8,,,27399824.0,ns,409864
Integer-mul,num,8,,,28517793.0,ns,424502
Integer-mul,num,8,,,29506237.0,ns,439140
Integer-mul,num,8,,,30760429.0,ns,453778
Integer-mul,num,8,,,31330426.0,ns,468416
Integer-mul,num,8,,,32242798.0,ns,483054
Integer-mul,num,8,,,33620143.0,ns,497692
Integer-mul,num,8,,,33841876.0,ns,512330
Integer-mul,num,8,,,35259090.0,ns,526968
Integer-mul,num,8,,,36516898.0,ns,541606
Integer-mul,num,8,,,37354114.0,ns,556244
Integer-mul,num,8,,,38720675.0,ns,570882
Integer-mul,num,8,,,39407062.0,ns,585520
Integer-mul,num,8,,,39668490.0,ns,600158
Integer-mul,num,8,,,41405386.0,ns,614796
Integer-mul,num,8,,,42958224.0,ns,629434
Integer-mul,num,8,,,43504278.0,ns,644072
Integer-mul,num,8,,,44247949.0,ns,658710
Integer-mul,num,8,,,44575734.0,ns,673348
Integer-mul,num,8,,,45400642.0,ns,687986
Integer-mul,num,8,,,46546653.0,ns,702624
Integer-mul,num,8,,,47491292.0,ns,717262
Integer-mul,num,8,,,48437074.0,ns,731900
Integer-mul,num,8,,,49188342.0,ns,746538
Integer-mul,num,8,,,50504198.0,ns,761176
Integer-mul,num,8,,,51366150.0,ns,775814
Integer-mul,num,8,,,52377313.0,ns,790452
Integer-mul,num,8,,,53409205.0,ns,805090
Integer-mul,num,8,,,54420431.0,ns,819728
Integer-mul,num,8,,,55485472.0,ns,834366
Integer-mul,num,8,,,55344498.0,ns,849004
Integer-mul,num,8,,,57154429.0,ns,863642
Integer-mul,num,8,,,58419443.0,ns,878280
Integer-mul,num,8,,,58967683.0,ns,892918
Integer-mul,num,8,,,59953623.0,ns,907556
Integer-mul,num,8,,,61120350.0,ns,922194
Integer-mul,num,8,,,61926066.0,ns,936832
Integer-mul,num,8,,,63760124.0,ns,951470
Integer-mul,num,8,,,63299638.0,ns,966108
Integer-mul,num,8,,,65000639.0,ns,980746
Integer-mul,num,8,,,66209651.0,ns,995384
Integer-mul,num,8,,,66517864.0,ns,1010022
Integer-mul,num,8,,,67993638.0,ns,1024660
Integer-mul,num,8,,,68702161.0,ns,1039298
Integer-mul,num,8,,,69688589.0,ns,1053936
Integer-mul,num,8,,,70804744.0,ns,1068574
Integer-mul,num,8,,,71488395.0,ns,1083212
Integer-mul,num,8,,,72871590.0,ns,1097850
Integer-mul,num,8,,,74219185.0,ns,1112488
Integer-mul,num,8,,,75774643.0,ns,1127126
Integer-mul,num,8,,,75774115.0,ns,1141764
Integer-mul,num,8,,,76671777.0,ns,1156402
Integer-mul,num,8,,,77425433.0,ns,1171040
Integer-mul,num,8,,,78516402.0,ns,1185678
Integer-mul,num,8,,,80044938.0,ns,1200316
Integer-mul,num,8,,,80484255.0,ns,1214954
Integer-mul,num,8,,,81717900.0,ns,1229592
Integer-mul,num,8,,,83999048.0,ns,1244230
Integer-mul,num,8,,,83007645.0,ns,1258868
Integer-mul,num,8,,,84156629.0,ns,1273506
Integer-mul,num,8,,,84448496.0,ns,1288144
Integer-mul,num,8,,,85579226.0,ns,1302782
Integer-mul,num,8,,,86841644.0,ns,1317420
Integer-mul,num,8,,,88182172.0,ns,1332058
Integer-mul,num,8,,,88126318.0,ns,1346696
Integer-mul,num,8,,,90424006.0,ns,1361334
Integer-mul,num,8,,,90099308.0,ns,1375972
Integer-mul,num,8,,,91377234.0,ns,1390610
Integer-mul,num,8,,,92818946.0,ns,1405248
Integer-mul,num,8,,,94203662.0,ns,1419886
Integer-mul,num,8,,,94659501.0,ns,1434524
Integer-mul,num,8,,,95898876.0,ns,1449162
Integer-mul,num,8,,,96552505.0,ns,1463800
