group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,rug,1,,,973230.0,ns,37626
Integer-mul,rug,1,,,1948253.0,ns,75252
Integer-mul,rug,1,,,2918881.0,ns,112878
Integer-mul,rug,1,,,3894732.0,ns,150504
Integer-mul,rug,1,,,5167828.0,ns,188130
Integer-mul,rug,1,,,6010455.0,ns,225756
Integer-mul,rug,1,,,6975093.0,ns,263382
Integer-mul,rug,1,,,8276139.0,ns,301008
Integer-mul,rug,1,,,8922654.0,ns,338634
Integer-mul,rug,1,,,9749908.0,ns,376260
Integer-mul,rug,1,,,10999863.0,ns,413886
Integer-mul,rug,1,,,11703690.0,ns,451512
Integer-mul,rug,1,,,12834379.0,ns,489138
Integer-mul,rug,1,,,13708373.0,ns,526764
Integer-mul,rug,1,,,14796193.0,ns,564390
Integer-mul,rug,1,,,15627320.0,ns,602016
Integer-mul,rug,1,,,16792892.0,ns,639642
Integer-mul,rug,1,,,17523230.0,ns,677268
Integer-mul,rug,1,,,18751056.0,ns,714894
Integer-mul,rug,1,,,19495065.0,ns,752520
Integer-mul,rug,1,,,20615848.0,ns,790146
Integer-mul,rug,1,,,21634322.0,ns,827772
Integer-mul,rug,1,,,22417464.0,ns,865398
Integer-mul,rug,1,,,23683651.0,ns,903024
Integer-mul,rug,1,,,24642880.0,ns,940650
Integer-mul,rug,1,,,25522822.0,ns,978276
Integer-mul,rug,1,,,26567319.0,ns,1015902
Integer-mul,rug,1,,,27438087.0,ns,1053528
Integer-mul,rug,1,,,28632335.0,ns,1091154
Integer-mul,rug,1,,,29528166.0,ns,1128780
Integer-mul,rug,1,,,30631690.0,ns,1166406
Integer-mul,rug,1,,,31582583.0,ns,1204032
Integer-mul,rug,1,,,32550207.0,ns,1241658
Integer-mul,rug,1,,,33369404.0,ns,1279284
Integer-mul,rug,1,,,34531102.0,ns,1316910
Integer-mul,rug,1,,,35588073.0,ns,1354536
Integer-mul,rug,1,,,36250910.0,ns,1392162
Integer-mul,rug,1,,,37349098.0,ns,1429788
Integer-mul,rug,1,,,38226690.0,ns,1467414
Integer-mul,rug,1,,,39423941.0,ns,1505040
Integer-mul,rug,1,,,39960818.0,ns,1542666
Integer-mul,rug,1,,,41196546.0,ns,1580292
Integer-mul,rug,1,,,42062948.0,ns,1617918
Integer-mul,rug,1,,,43395740.0,ns,1655544
Integer-mul,rug,1,,,44176736.0,ns,1693170
Integer-mul,rug,1,,,45693931.0,ns,1730796
Integer-mul,rug,1,,,45767620.0,ns,1768422
Integer-mul,rug,1,,,47099396.0,ns,1806048
Integer-mul,rug,1,,,48140962.0,ns,1843674
Integer-mul,rug,1,,,49210381.0,ns,1881300
Integer-mul,rug,1,,,49688011.0,ns,1918926
Integer-mul,rug,1,,,51081581.0,ns,1956552
Integer-mul,rug,1,,,52012797.0,ns,1994178
Integer-mul,rug,1,,,53178294.0,ns,2031804
Integer-mul,rug,1,,,53638213.0,ns,2069430
Integer-mul,rug,1,,,54983651.0,ns,2107056
Integer-mul,rug,1,,,55794979.0,ns,2144682
Integer-mul,rug,1,,,56864756.0,ns,2182308
Integer-mul,rug,1,,,57896589.0,ns,2219934
Integer-mul,rug,1,,,58567106.0,ns,2257560
Integer-mul,rug,1,,,59803222.0,ns,2295186
Integer-mul,rug,1,,,60717711.0,ns,2332812
Integer-mul,rug,1,,,61710288.0,ns,2370438
Integer-mul,rug,1,,,62420156.0,ns,2408064
Integer-mul,rug,1,,,63637886.0,ns,2445690
Integer-mul,rug,1,,,64722524.0,ns,2483316
Integer-mul,rug,1,,,65267102.0,ns,2520942
Integer-mul,rug,1,,,66452360.0,ns,2558568
Integer-mul,rug,1,,,67414084.0,ns,2596194
Integer-mul,rug,1,,,68346982.0,ns,2633820
Integer-mul,rug,1,,,69464554.0,ns,2671446
Integer-mul,rug,1,,,70654715.0,ns,2709072
Integer-mul,rug,1,,,71574858.0,ns,2746698
Integer-mul,rug,1,,,72251483.0,ns,2784324
Integer-mul,rug,1,,,73624537.0,ns,2821950
Integer-mul,rug,1,,,74319377.0,ns,2859576
Integer-mul,rug,1,,,75045252.0,ns,2897202
Integer-mul,rug,1,,,75982675.0,ns,2934828
Integer-mul,rug,1,,,76993518.0,ns,2972454
Integer-mul,rug,1,,,77632116.0,ns,3010080
Integer-mul,rug,1,,,79059510.0,ns,3047706
Integer-mul,rug,1,,,80592234.0,ns,3085332
Integer-mul,rug,1,,,80780064.0,ns,3122958
Integer-mul,rug,1,,,81942918.0,ns,3160584
Integer-mul,rug,1,,,82667913.0,ns,3198210
Integer-mul,rug,1,,,83912186.0,ns,3235836
Integer-mul,rug,1,,,84796698.0,ns,3273462
Integer-mul,rug,1,,,85601290.0,ns,3311088
Integer-mul,rug,1,,,86871242.0,ns,3348714
Integer-mul,rug,1,,,87768491.0,ns,3386340
Integer-mul,rug,1,,,88644609.0,ns,3423966
Integer-mul,rug,1,,,89654697.0,ns,3461592
Integer-mul,rug,1,,,90295529.0,ns,3499218
Integer-mul,rug,1,,,91314187.0,ns,3536844
Integer-mul,rug,1,,,92382511.0,ns,3574470
Integer-mul,rug,1,,,93095624.0,ns,3612096
Integer-mul,rug,1,,,94011354.0,ns,3649722
Integer-mul,rug,1,,,95020975.0,ns,3687348
Integer-mul,rug,1,,,96017854.0,ns,3724974
Integer-mul,rug,1,,,97823386.0,ns,3762600
