group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Integer-mul,rug,8,,,1272234.0,ns,30793
Integer-mul,rug,8,,,2040170.0,ns,61586
Integer-mul,rug,8,,,2847636.0,ns,92379
Integer-mul,rug,8,,,3871389.0,ns,123172
Integer-mul,rug,8,,,4937869.0,ns,153965
Integer-mul,rug,8,,,6237194.0,ns,184758
Integer-mul,rug,8,,,7313811.0,ns,215551
Integer-mul,rug,8,,,7964912.0,ns,246344
Integer-mul,rug,8,,,8949495.0,ns,277137
Integer-mul,rug,8,,,9935652.0,ns,307930
Integer-mul,rug,8,,,10887001.0,ns,338723
Integer-mul,rug,8,,,12212391.0,ns,369516
Integer-mul,rug,8,,,12940368.0,ns,400309
Integer-mul,rug,8,,,13759689.0,ns,431102
Integer-mul,rug,8,,,14660777.0,ns,461895
Integer-mul,rug,8,,,16101563.0,ns,492688
Integer-mul,rug,8,,,16679858.0,ns,523481
Integer-mul,rug,8,,,17364960.0,ns,554274
Integer-mul,rug,8,,,18726175.0,ns,585067
Integer-mul,rug,8,,,20068720.0,ns,615860
Integer-mul,rug,8,,,20922903.0,ns,646653
Integer-mul,rug,8,,,21585819.0,ns,677446
Integer-mul,rug,8,,,22805314.0,ns,708239
Integer-mul,rug,8,,,23809572.0,ns,739032
Integer-mul,rug,8,,,24415029.0,ns,769825
Integer-mul,rug,8,,,25428622.0,ns,800618
Integer-mul,rug,8,,,26497950.0,ns,831411
Integer-mul,rug,8,,,27254930.0,ns,862204
Integer-mul,rug,8,,,28828233.0,ns,892997
Integer-mul,rug,8,,,29722414.0,ns,923790
Integer-mul,rug,8,,,30792248.0,ns,954583
Integer-mul,rug,8,,,32006987.0,ns,985376
Integer-mul,rug,8,,,32466215.0,ns,1016169
Integer-mul,rug,8,,,33960695.0,ns,1046962
Integer-mul,rug,8,,,34102735.0,ns,1077755
Integer-mul,rug,8,,,35125523.0,ns,1108548
Integer-mul,rug,8,,,36784318.0,ns,1139341
Integer-mul,rug,8,,,37106343.0,ns,1170134
Integer-mul,rug,8,,,38140619.0,ns,1200927
Integer-mul,rug,8,,,38795470.0,ns,1231720
Integer-mul,rug,8,,,40042367.0,ns,1262513
Integer-mul,rug,8,,,41197588.0,ns,1293306
Integer-mul,rug,8,,,42469447.0,ns,1324099
Integer-mul,rug,8,,,42652964.0,ns,1354892
Integer-mul,rug,8,,,44081555.0,ns,1385685
Integer-mul,rug,8,,,44754060.0,ns,1416478
Integer-mul,rug,8,,,45561986.0,ns,1447271
Integer-mul,rug,8,,,46644611.0,ns,1478064
Integer-mul,rug,8,,,47558365.0,ns,1508857
Integer-mul,rug,8,,,49486486.0,ns,1539650
Integer-mul,rug,8,,,49816699.0,ns,1570443
Integer-mul,rug,8,,,50373393.0,ns,1601236
Integer-mul,rug,8,,,52441662.0,ns,1632029
Integer-mul,rug,8,,,53374257.0,ns,1662822
Integer-mul,rug,8,,,53857868.0,ns,1693615
Integer-mul,rug,8,,,55441764.0,ns,1724408
Integer-mul,rug,8,,,56205245.0,ns,1755201
Integer-mul,rug,8,,,56567482.0,ns,1785994
Integer-mul,rug,8,,,57266258.0,ns,1816787
Integer-mul,rug,8,,,58927156.0,ns,1847580
Integer-mul,rug,8,,,60374379.0,ns,1878373
Integer-mul,rug,8,,,60690739.0,ns,1909166
Integer-mul,rug,8,,,61224179.0,ns,1939959
Integer-mul,rug,8,,,62724393.0,ns,1970752
Integer-mul,rug,8,,,63448244.0,ns,2001545
Integer-mul,rug,8,,,64921136.0,ns,2032338
Integer-mul,rug,8,,,65771527.0,ns,2063131
Integer-mul,rug,8,,,66716971.0,ns,2093924
Integer-mul,rug,8,,,67516906.0,ns,2124717
Integer-mul,rug,8,,,68023953.0,ns,2155510
Integer-mul,rug,8,,,70174497.0,ns,2186303
Integer-mul,rug,8,,,71431157.0,ns,2217096
Integer-mul,rug,8,,,71855648.0,ns,2247889
Integer-mul,rug,8,,,71776326.0,ns,2278682
Integer-mul,rug,8,,,72886442.0,ns,2309475
Integer-mul,rug,8,,,74409490.0,ns,2340268
Integer-mul,rug,8,,,74526485.0,ns,2371061
Integer-mul,rug,8,,,76326981.0,ns,2401854
Integer-mul,rug,8,,,77348649.0,ns,2432647
Integer-mul,rug,8,,,79188605.0,ns,2463440
Integer-mul,rug,8,,,79297404.0,ns,2494233
Integer-mul,rug,8,,,80589714.0,ns,2525026
Integer-mul,rug,8,,,81781065.0,ns,2555819
Integer-mul,rug,8,,,82400410.0,ns,2586612
Integer-mul,rug,8,,,83771830.0,ns,2617405
Integer-mul,rug,8,,,84667737.0,ns,2648198
Integer-mul,rug,8,,,85439071.0,ns,2678991
Integer-mul,rug,8,,,86758412.0,ns,2709784
Integer-mul,rug,8,,,86952650.0,ns,2740577
Integer-mul,rug,8,,,88438022.0,ns,2771370
Integer-mul,rug,8,,,89127136.0,ns,2802163
Integer-mul,rug,8,,,91064567.0,ns,2832956
Integer-mul,rug,8,,,90696646.0,ns,2863749
Integer-mul,rug,8,,,92061141.0,ns,2894542
Integer-mul,rug,8,,,92843098.0,ns,2925335
Integer-mul,rug,8,,,95584604.0,ns,2956128
Integer-mul,rug,8,,,95197900.0,ns,2986921
Integer-mul,rug,8,,,95894958.0,ns,3017714
Integer-mul,rug,8,,,97242788.0,ns,3048507
Integer-mul,rug,8,,,98684098.0,ns,3079300
